Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
cora_0shdk4u4_GAT,0.0,0.0152,0.0304,0.1103,0.0185,0.0,0.0152,0.0304,0.1103,0.4864,0.4906,0.5
cora_3aronnsd_GAT,0.0152,0.0152,0.0684,0.1217,0.0318,0.0152,0.0152,0.0684,0.1217,0.5189,0.5205,0.52281
cora_9sco6w9z_GAT,0.2471,0.4183,0.5817,0.7605,0.3505,0.2471,0.4183,0.5817,0.7605,0.8184,0.8626,0.6692
cora_8t3bifmz_GAT,0.4411,0.4639,0.5856,0.7909,0.4794,0.4411,0.4639,0.5856,0.7909,0.8374,0.8763,0.72433
cora_ze5zad6t_GAT,0.1673,0.2167,0.4221,0.7643,0.238,0.1673,0.2167,0.4221,0.7643,0.8039,0.8342,0.6654
cora_ulz19mqh_GAT,0.0,0.0,0.0,0.9392,0.0283,0.0,0.0,0.0,0.9392,0.8362,0.7652,0.82129
cora_3oqby8v1_GAT,0.0,0.0,0.0,0.924,0.0261,0.0,0.0,0.0,0.924,0.8153,0.7436,0.80418
cora_8ifksziv_GAT,0.0,0.0,0.0,0.8973,0.0213,0.0,0.0,0.0,0.8973,0.7748,0.7001,0.77186
cora_ckvxgwnx_GAT,0.0,0.0,0.4297,0.749,0.0834,0.0,0.0,0.4297,0.749,0.8012,0.7998,0.71103
cora_8r84a0ca_GAT,0.0,0.0,0.0,0.9202,0.0234,0.0,0.0,0.0,0.9202,0.796,0.721,0.79468
cora_k9d8u06m_GAT,0.0,0.0,0.0,0.9125,0.027,0.0,0.0,0.0,0.9125,0.8106,0.7441,0.80989
cora_2b0c05pq_GAT,0.0,0.0,0.4487,0.7909,0.1005,0.0,0.0,0.4487,0.7909,0.8287,0.8283,0.71863
cora_d1x99peq_GAT,0.0,0.0,0.0,0.9087,0.059,0.0,0.0,0.0,0.9087,0.8599,0.8331,0.78707
cora_myzhl7h1_GAT,0.0,0.0,0.4449,0.8099,0.1162,0.0,0.0,0.4449,0.8099,0.8386,0.8402,0.72624
cora_ozryxama_GAT,0.0,0.1559,0.3688,0.7985,0.1468,0.0,0.1559,0.3688,0.7985,0.8119,0.8228,0.68251
cora_hpo1ye3f_GAT,0.0,0.1825,0.403,0.7909,0.1472,0.0,0.1825,0.403,0.7909,0.8185,0.8308,0.6692
cora_p85hbe3a_GAT,0.0,0.2015,0.3498,0.7795,0.1466,0.0,0.2015,0.3498,0.7795,0.812,0.8245,0.673
cora_k0p7s9ux_GAT,0.0,0.3346,0.3954,0.8061,0.1827,0.0,0.3346,0.3954,0.8061,0.8242,0.8429,0.6654
cora_78c6uxjy_GAT,0.0,0.0,0.0,0.8175,0.0601,0.0,0.0,0.2167,0.8175,0.8231,0.7945,0.72814
cora_jxhjmtwy_GAT,0.0,0.2928,0.365,0.7909,0.1921,0.0,0.2928,0.365,0.7909,0.8189,0.8363,0.673
cora_tmj80s99_GAT,0.0,0.0,0.0,0.9202,0.0412,0.0,0.0,0.0,0.9202,0.856,0.8088,0.82129
cora_26rojj4d_GAT,0.0,0.0,0.3384,0.7795,0.0843,0.0,0.0,0.3384,0.7795,0.8189,0.8129,0.72624
cora_nb56dl4e_GAT,0.0989,0.2395,0.3232,0.7681,0.1992,0.0989,0.2395,0.3232,0.7681,0.7957,0.8128,0.6654
cora_swf3y0y9_GAT,0.1635,0.2433,0.3954,0.7452,0.246,0.1635,0.2433,0.3954,0.7452,0.8044,0.8326,0.65779
cora_043wepmt_GAT,0.0,0.0,0.2167,0.7833,0.0659,0.0,0.0,0.2167,0.7833,0.8001,0.7836,0.72433
cora_kn0n2iid_GAT,0.0,0.0,0.0,0.9087,0.0265,0.0,0.0,0.0,0.9087,0.8136,0.7477,0.80228
cora_fcmcw4lh_GAT,0.27,0.327,0.4144,0.8251,0.3273,0.27,0.327,0.4144,0.8251,0.8401,0.8578,0.69772
cora_nnwp11p2_GAT,0.0,0.0,0.2814,0.7871,0.0729,0.0,0.0,0.2814,0.7871,0.8157,0.7998,0.73954
cora_3lwe43jv_GAT,0.0,0.0,0.0,0.9316,0.0329,0.0,0.0,0.0,0.9316,0.8492,0.787,0.84601
cora_wfp0t8bk_GAT,0.1407,0.2928,0.4525,0.7376,0.2485,0.1407,0.2928,0.4525,0.7376,0.7999,0.8313,0.65779
cora_pjhlihm3_GAT,0.0,0.0,0.0,0.9278,0.0531,0.0,0.0,0.0,0.9278,0.8738,0.8381,0.8327
cora_lb4fepds_GAT,0.0,0.0875,0.3878,0.749,0.1179,0.0,0.0875,0.3878,0.749,0.784,0.7964,0.65399
cora_yfgqgsm6_GAT,0.1331,0.27,0.3498,0.7186,0.2269,0.1331,0.27,0.3498,0.7186,0.7602,0.7956,0.61787
cora_noszq3gk_GAT,0.1065,0.2053,0.3726,0.7224,0.1872,0.1065,0.2053,0.3726,0.7224,0.7767,0.7976,0.63878
cora_2rudq73s_GAT,0.1103,0.2167,0.3574,0.7605,0.1946,0.1103,0.2167,0.3574,0.7605,0.8011,0.8213,0.65399
cora_549q0wn5_GAT,0.0,0.2928,0.3764,0.7262,0.181,0.0,0.2928,0.3764,0.7262,0.7956,0.8142,0.6635
cora_83fi2m9k_GAT,0.2015,0.2738,0.5703,0.8061,0.3069,0.2015,0.2738,0.5703,0.8061,0.8551,0.8807,0.75475
cora_l6a7mgmr_GAT,0.1065,0.308,0.5665,0.7909,0.2567,0.1065,0.308,0.5665,0.7909,0.8428,0.8704,0.74525
cora_8se03n00_GAT,0.0,0.0,0.0,0.9202,0.0223,0.0,0.0,0.0,0.9202,0.7898,0.7139,0.78137
cora_zyajbxtb_GAT,0.0,0.0,0.0,0.7643,0.0594,0.0,0.0,0.3004,0.7643,0.8036,0.7854,0.73004
cora_iki1aoto_GAT,0.3992,0.4106,0.5856,0.8061,0.4546,0.3992,0.4106,0.5856,0.8061,0.8582,0.8881,0.76046
cora_ipo2f8lo_GAT,0.0,0.0,0.0,0.8973,0.0356,0.0,0.0,0.0,0.8973,0.816,0.7653,0.75665
cora_2yiskqn7_GAT,0.3346,0.4373,0.6122,0.7757,0.4093,0.3346,0.4373,0.6122,0.7757,0.8352,0.8759,0.74335
cora_fvaxxj2m_GAT,0.0,0.0,0.0,0.7795,0.0512,0.0,0.0,0.251,0.8973,0.8131,0.7784,0.75665
cora_3o1cka1h_GAT,0.0,0.0,0.0,0.9202,0.0247,0.0,0.0,0.0,0.9202,0.8027,0.7327,0.78137
cora_y82wkxpj_GAT,0.0,0.0,0.0,0.8973,0.0279,0.0,0.0,0.0,0.8973,0.813,0.7516,0.79278
cora_tebukf47_GAT,0.1901,0.2357,0.4335,0.73,0.2515,0.1901,0.2357,0.4335,0.73,0.7906,0.8243,0.62548
cora_w6y7llbv_GAT,0.3384,0.5133,0.5894,0.7947,0.4368,0.3384,0.5133,0.5894,0.7947,0.8403,0.8817,0.75095
cora_vo1a5pgx_GAT,0.4106,0.4373,0.6008,0.7985,0.4586,0.4106,0.4373,0.6008,0.7985,0.8499,0.8831,0.77567
cora_mom3p5oy_GAT,0.3726,0.4144,0.6084,0.7871,0.4295,0.3726,0.4144,0.6084,0.7871,0.8465,0.8812,0.75285
cora_whf3m528_GAT,0.3232,0.4259,0.5589,0.7985,0.4062,0.3232,0.4259,0.5589,0.7985,0.8453,0.8822,0.75095
cora_1ziacnjh_GAT,0.1141,0.3688,0.4373,0.7719,0.2419,0.1141,0.3688,0.4373,0.7719,0.7961,0.8282,0.63878
cora_lmri9cne_GAT,0.0951,0.1293,0.3802,0.7414,0.1715,0.0951,0.1293,0.3802,0.7414,0.7738,0.8016,0.62167
cora_3yw98mcy_GAT,0.308,0.3992,0.5703,0.7947,0.3899,0.308,0.3992,0.5703,0.7947,0.8545,0.8834,0.76616
cora_wus48rt6_GAT,0.308,0.403,0.6008,0.7947,0.3796,0.308,0.403,0.6008,0.7947,0.857,0.8856,0.74715
cora_6nzvczca_GAT,0.2776,0.4411,0.5932,0.7757,0.3853,0.2776,0.4411,0.5932,0.7757,0.8449,0.8814,0.75475
cora_eove8i22_GAT,0.4525,0.4753,0.6008,0.7795,0.4894,0.4525,0.4753,0.6008,0.7795,0.8468,0.8823,0.74905
cora_y5d37m6p_GAT,0.3954,0.4183,0.5932,0.7985,0.4436,0.3954,0.4183,0.5932,0.7985,0.8639,0.8906,0.76426
cora_sctkwxpz_GAT,0.3384,0.4106,0.5475,0.7947,0.4032,0.3384,0.4106,0.5475,0.7947,0.8399,0.8789,0.76426
cora_4k46787g_GAT,0.2167,0.4487,0.5627,0.7909,0.3585,0.2167,0.4487,0.5627,0.7909,0.8432,0.8769,0.74525
cora_ntkg22ik_GAT,0.4068,0.4221,0.5817,0.8061,0.4519,0.4068,0.4221,0.5817,0.8061,0.8524,0.8849,0.76046
cora_4gu1x8r8_GAT,0.3612,0.4677,0.6008,0.7947,0.4357,0.3612,0.4677,0.6008,0.7947,0.852,0.8862,0.74144
cora_jqqftbll_GAT,0.2738,0.4221,0.6198,0.7909,0.3854,0.2738,0.4221,0.6198,0.7909,0.8338,0.8755,0.74144
cora_bk1m2tgg_GAT,0.3574,0.4411,0.5894,0.8175,0.4245,0.3574,0.4411,0.5894,0.8175,0.8562,0.8852,0.76046
cora_j3wqp1b8_GAT,0.3498,0.4791,0.6008,0.7909,0.4216,0.3498,0.4791,0.6008,0.7909,0.8419,0.8791,0.73574
cora_cponcix6_GAT,0.2738,0.4601,0.5779,0.7871,0.394,0.2738,0.4601,0.5779,0.7871,0.8416,0.879,0.76616
cora_pvclevir_GAT,0.4259,0.4563,0.597,0.7947,0.4678,0.4259,0.4563,0.597,0.7947,0.8495,0.8851,0.77757
cora_t00yknux_GAT,0.4335,0.5057,0.5932,0.7681,0.4918,0.4335,0.5057,0.5932,0.7681,0.8331,0.8785,0.75285
cora_knco0v5x_GAT,0.3574,0.3954,0.5361,0.7985,0.4149,0.3574,0.3954,0.5361,0.7985,0.8487,0.8811,0.75095
cora_tsojzopm_GAT,0.2395,0.4297,0.5741,0.7681,0.3665,0.2395,0.4297,0.5741,0.7681,0.841,0.876,0.73004
cora_uugjpuc0_GAT,0.2738,0.3916,0.5779,0.7947,0.3634,0.2738,0.3916,0.5779,0.7947,0.8472,0.8776,0.74335
cora_yy97387q_GAT,0.3156,0.4068,0.6198,0.7871,0.3956,0.3156,0.4068,0.6198,0.7871,0.8447,0.8807,0.75285
cora_vbu4wu05_GAT,0.3954,0.4335,0.5779,0.7985,0.4416,0.3954,0.4335,0.5779,0.7985,0.8498,0.8842,0.75285
cora_v4szyw3r_GAT,0.3574,0.4297,0.5932,0.7757,0.4317,0.3574,0.4297,0.5932,0.7757,0.8432,0.8807,0.76616
cora_7zdprapl_GAT,0.4411,0.4905,0.597,0.7947,0.4854,0.4411,0.4905,0.597,0.7947,0.8553,0.8886,0.75475
cora_uahocyqp_GAT,0.3878,0.4411,0.5779,0.7795,0.4378,0.3878,0.4411,0.5779,0.7795,0.842,0.8766,0.74905
cora_xdok1859_GAT,0.2966,0.4068,0.5741,0.7871,0.3838,0.2966,0.4068,0.5741,0.7871,0.8398,0.8748,0.74905
cora_kzd0xpff_GAT,0.3194,0.4411,0.6198,0.7985,0.4195,0.3194,0.4411,0.6198,0.7985,0.8551,0.8859,0.76426
cora_50rptup6_GAT,0.3384,0.4373,0.5703,0.7909,0.4046,0.3384,0.4373,0.5703,0.7909,0.8528,0.8835,0.77376
cora_h0fgj8ki_GAT,0.4221,0.4373,0.6008,0.7985,0.4653,0.4221,0.4373,0.6008,0.7985,0.8557,0.8896,0.79087
cora_2izf2jfk_GAT,0.2395,0.4487,0.5817,0.7643,0.3648,0.2395,0.4487,0.5817,0.7643,0.8361,0.8742,0.76806
cora_303de3ch_GAT,0.4297,0.4563,0.5856,0.8061,0.4761,0.4297,0.4563,0.5856,0.8061,0.8599,0.8903,0.78137
cora_33fbkela_GAT,0.3688,0.3764,0.5894,0.7909,0.4234,0.3688,0.3764,0.5894,0.7909,0.8458,0.8814,0.75856
cora_pfn8t2dn_GAT,0.2928,0.4525,0.6046,0.7947,0.4039,0.2928,0.4525,0.6046,0.7947,0.8519,0.8858,0.77757
cora_z1kxir31_GAT,0.3422,0.4449,0.5817,0.7947,0.4162,0.3422,0.4449,0.5817,0.7947,0.8537,0.8857,0.77186
cora_3hf8vgkr_GAT,0.2586,0.4525,0.597,0.7833,0.3783,0.2586,0.4525,0.597,0.7833,0.8543,0.8846,0.77376
cora_1k1nk27b_GAT,0.3156,0.4411,0.5665,0.7871,0.4047,0.3156,0.4411,0.5665,0.7871,0.8496,0.8842,0.77567
cora_mrk08fwg_GAT,0.3384,0.4449,0.5779,0.7871,0.4178,0.3384,0.4449,0.5779,0.7871,0.8409,0.8782,0.75856
cora_uuxu42v1_GAT,0.4068,0.4487,0.5627,0.8023,0.4531,0.4068,0.4487,0.5627,0.8023,0.8499,0.8813,0.75856
cora_g3m0vzwu_GAT,0.346,0.3688,0.5589,0.8061,0.4007,0.346,0.3688,0.5589,0.8061,0.8552,0.8853,0.78517
cora_f2dtlroz_GAT,0.3612,0.4943,0.5779,0.7833,0.451,0.3612,0.4943,0.5779,0.7833,0.8445,0.8821,0.76806
cora_v6e556e3_GAT,0.3916,0.4068,0.6046,0.7719,0.4452,0.3916,0.4068,0.6046,0.7719,0.8365,0.8749,0.72624
cora_ihl37kt5_GAT,0.2471,0.3878,0.616,0.7757,0.3551,0.2471,0.3878,0.616,0.7757,0.8428,0.8767,0.73384
cora_afteda4u_GAT,0.2852,0.4106,0.6008,0.7947,0.3841,0.2852,0.4106,0.6008,0.7947,0.8451,0.8796,0.72433
cora_lb9pk2fp_GAT,0.2814,0.3688,0.5779,0.7947,0.3665,0.2814,0.3688,0.5779,0.7947,0.8485,0.8792,0.75665
cora_3wrc1dry_GAT,0.2167,0.4487,0.5703,0.7871,0.3267,0.2167,0.4487,0.5703,0.7871,0.8437,0.8765,0.76996
cora_mf41loq2_GAT,0.2852,0.3802,0.5932,0.7985,0.3755,0.2852,0.3802,0.5932,0.7985,0.8526,0.8839,0.76806
cora_kcylkoit_GAT,0.2205,0.4601,0.5856,0.7985,0.3532,0.2205,0.4601,0.5856,0.7985,0.8446,0.8792,0.77376
cora_u6gewtzg_GAT,0.3574,0.4183,0.5665,0.7985,0.4214,0.3574,0.4183,0.5665,0.7985,0.8424,0.8779,0.75475
cora_32oxv591_GAT,0.4144,0.4297,0.5741,0.7833,0.4564,0.4144,0.4297,0.5741,0.7833,0.8401,0.8779,0.76046
Best,0.4525,0.5133,0.6198,0.9392,0.4918,0.4525,0.5133,0.6198,0.9392,0.8738,0.8906,0.84601
