Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
seal-pubmed,40.60 ± 11.29,50.08 ± 5.63,58.43 ± 8.30,74.79 ± 5.09,84.36 ± 1.47,89.44 ± 1.19,50.68 ± 5.20,40.60 ± 11.29,50.08 ± 5.63,58.43 ± 8.30,74.79 ± 5.09,84.36 ± 1.47,89.44 ± 1.19,98.82 ± 0.12,98.87 ± 0.13,82.06 ± 16.50
ncn-pubmed,11.05 ± 8.04,38.73 ± 9.87,57.90 ± 5.60,71.10 ± 3.91,86.44 ± 2.03,93.21 ± 1.10,25.92 ± 4.33,11.05 ± 8.04,38.73 ± 9.87,57.90 ± 5.60,71.10 ± 3.91,86.44 ± 2.03,93.21 ± 1.10,98.66 ± 0.18,98.49 ± 0.28,94.67 ± 0.39
ncnc-pubmed,6.71 ± 3.81,18.69 ± 7.95,52.31 ± 11.62,69.94 ± 4.85,86.49 ± 0.99,93.74 ± 0.25,20.31 ± 6.51,6.71 ± 3.81,18.69 ± 7.95,52.31 ± 11.62,69.94 ± 4.85,86.49 ± 0.99,93.74 ± 0.25,98.66 ± 0.12,98.45 ± 0.15,94.72 ± 0.30
buddy-pubmed,6.11 ± 5.18,20.24 ± 4.29,43.13 ± 6.81,58.88 ± 3.12,76.14 ± 3.46,89.25 ± 2.27,19.46 ± 2.42,6.11 ± 5.18,20.24 ± 4.29,43.13 ± 6.81,58.88 ± 3.12,76.14 ± 3.46,89.25 ± 2.27,97.92 ± 0.17,97.63 ± 0.16,85.21 ± 9.56
minilm-pubmed-origin,15.41 ± 0.54,20.92 ± 1.22,33.77 ± 0.51,48.65 ± 0.19,66.35 ± 0.29,81.90 ± 0.03,21.54 ± 0.11,15.41 ± 0.54,20.92 ± 1.22,33.77 ± 0.51,48.65 ± 0.19,66.35 ± 0.29,81.90 ± 0.03,96.20 ± 0.00,96.25 ± 0.01,90.04 ± 0.05
e5-large-pubmed-origin,8.06 ± 1.76,26.37 ± 1.11,46.03 ± 0.80,54.06 ± 1.15,71.32 ± 0.86,82.59 ± 0.26,21.79 ± 1.58,8.06 ± 1.76,26.37 ± 1.11,46.03 ± 0.80,54.06 ± 1.15,71.32 ± 0.86,82.59 ± 0.26,96.73 ± 0.03,96.73 ± 0.04,90.62 ± 0.04
bert-pubmed-origin,2.90 ± 2.00,5.86 ± 2.48,14.47 ± 2.06,23.13 ± 0.53,36.12 ± 0.37,48.73 ± 1.43,6.56 ± 0.70,2.90 ± 2.00,5.86 ± 2.48,14.47 ± 2.06,23.13 ± 0.53,36.12 ± 0.37,48.73 ± 1.43,88.96 ± 0.31,88.51 ± 0.38,81.01 ± 0.23
elph-pubmed,16.03 ± 4.21,28.70 ± 8.05,41.91 ± 4.08,45.80 ± 2.21,59.19 ± 5.58,74.62 ± 1.64,24.61 ± 3.17,16.03 ± 4.21,28.70 ± 8.05,41.91 ± 4.08,45.80 ± 2.21,59.19 ± 5.58,74.62 ± 1.64,95.80 ± 0.39,95.57 ± 0.34,85.05 ± 5.54
neognn-pubmed,20.89 ± 7.91,38.88 ± 4.52,51.24 ± 2.85,59.04 ± 2.10,73.17 ± 5.29,81.25 ± 8.14,31.44 ± 3.85,20.89 ± 7.91,38.88 ± 4.52,51.24 ± 2.85,59.04 ± 2.10,73.17 ± 5.29,81.25 ± 8.14,94.69 ± 6.85,94.89 ± 6.31,78.26 ± 1.77
llama-pubmed-origin,11.04 ± 5.07,23.13 ± 6.52,54.67 ± 2.04,65.57 ± 2.07,79.87 ± 1.19,89.01 ± 0.53,22.87 ± 4.47,11.04 ± 5.07,23.13 ± 6.52,54.67 ± 2.04,65.57 ± 2.07,79.87 ± 1.19,89.01 ± 0.53,98.09 ± 0.10,97.99 ± 0.07,93.39 ± 0.22
minilm-pubmed-origin,0.00 ± nan,45.45 ± nan,77.27 ± nan,90.91 ± nan,100.00 ± nan,100.00 ± nan,24.21 ± nan,0.00 ± nan,45.45 ± nan,77.27 ± nan,90.91 ± nan,100.00 ± nan,100.00 ± nan,66.53 ± nan,66.40 ± nan,63.64 ± nan
minilm-pubmed-origin,2.27 ± nan,11.36 ± nan,29.55 ± nan,47.73 ± nan,100.00 ± nan,100.00 ± nan,13.32 ± nan,2.27 ± nan,11.36 ± nan,29.55 ± nan,47.73 ± nan,100.00 ± nan,100.00 ± nan,57.21 ± nan,59.29 ± nan,54.54 ± nan
minilm-pubmed-origin,5.45 ± nan,6.36 ± nan,17.27 ± nan,35.45 ± nan,73.64 ± nan,97.27 ± nan,9.98 ± nan,5.45 ± nan,6.36 ± nan,17.27 ± nan,35.45 ± nan,73.64 ± nan,97.27 ± nan,66.39 ± nan,64.84 ± nan,57.73 ± nan
minilm-pubmed-origin,3.84 ± nan,33.86 ± nan,54.85 ± nan,72.46 ± nan,87.58 ± nan,93.68 ± nan,26.89 ± nan,3.84 ± nan,33.86 ± nan,54.85 ± nan,72.46 ± nan,87.58 ± nan,93.68 ± nan,94.55 ± nan,94.48 ± nan,87.92 ± nan
minilm-pubmed-origin,1.26 ± nan,23.19 ± nan,55.78 ± nan,62.45 ± nan,76.35 ± nan,84.39 ± nan,18.49 ± nan,1.26 ± nan,23.19 ± nan,55.78 ± nan,62.45 ± nan,76.35 ± nan,84.39 ± nan,94.82 ± nan,94.99 ± nan,87.50 ± nan
minilm-pubmed-origin,5.42 ± nan,17.96 ± nan,44.81 ± nan,56.41 ± nan,72.88 ± nan,82.08 ± nan,16.86 ± nan,5.42 ± nan,17.96 ± nan,44.81 ± nan,56.41 ± nan,72.88 ± nan,82.08 ± nan,96.38 ± nan,96.39 ± nan,90.37 ± nan
minilm-pubmed-origin_euclidean,0.27 ± 0.06,8.94 ± 3.57,15.55 ± 4.75,36.87 ± 1.06,57.05 ± 0.29,73.05 ± 0.09,8.33 ± 0.35,0.27 ± 0.06,8.94 ± 3.57,15.55 ± 4.75,36.87 ± 1.06,57.05 ± 0.29,73.05 ± 0.09,94.94 ± 0.00,94.35 ± 0.03,88.43 ± 0.04
bert-pubmed-origin_euclidean,1.11 ± 0.68,2.68 ± 0.68,7.33 ± 2.37,12.29 ± 1.99,24.59 ± 1.67,37.60 ± 1.10,3.62 ± 0.45,1.11 ± 0.68,2.68 ± 0.68,7.33 ± 2.37,12.29 ± 1.99,24.59 ± 1.67,37.60 ± 1.10,87.01 ± 0.22,85.30 ± 0.47,79.06 ± 0.50
e5-large-pubmed-origin_euclidean,10.84 ± 5.55,22.85 ± 3.26,40.90 ± 1.27,51.01 ± 0.47,66.76 ± 0.88,76.87 ± 0.21,21.88 ± 0.57,10.84 ± 5.55,22.85 ± 3.26,40.90 ± 1.27,51.01 ± 0.47,66.76 ± 0.88,76.87 ± 0.21,95.75 ± 0.04,95.80 ± 0.02,89.01 ± 0.17
llama-pubmed-origin_euclidean,0.75 ± 0.56,7.45 ± 4.93,20.34 ± 3.20,39.39 ± 4.38,63.30 ± 1.34,77.24 ± 1.20,8.06 ± 0.85,0.75 ± 0.56,7.45 ± 4.93,20.34 ± 3.20,39.39 ± 4.38,63.30 ± 1.34,77.24 ± 1.20,96.25 ± 0.11,95.50 ± 0.21,90.06 ± 0.12
minilm-pubmed-origin_concat,7.82 ± 1.41,14.44 ± 4.79,28.61 ± 1.66,40.66 ± 0.78,58.54 ± 1.90,74.77 ± 1.29,15.86 ± 1.06,7.82 ± 1.41,14.44 ± 4.79,28.61 ± 1.66,40.66 ± 0.78,58.54 ± 1.90,74.77 ± 1.29,95.75 ± 0.12,95.35 ± 0.15,89.46 ± 0.15
bert-pubmed-origin_concat,1.21 ± 0.66,1.92 ± 0.70,9.91 ± 1.10,17.91 ± 1.27,30.46 ± 1.89,43.39 ± 1.76,4.22 ± 0.28,1.21 ± 0.66,1.92 ± 0.70,9.91 ± 1.10,17.91 ± 1.27,30.46 ± 1.89,43.39 ± 1.76,88.27 ± 0.23,87.02 ± 0.19,80.29 ± 0.40
e5-large-pubmed-origin_concat,5.95 ± 1.19,9.03 ± 4.27,16.25 ± 3.78,25.71 ± 3.17,37.34 ± 3.92,57.50 ± 3.18,10.89 ± 1.44,5.95 ± 1.19,9.03 ± 4.27,16.25 ± 3.78,25.71 ± 3.17,37.34 ± 3.92,57.50 ± 3.18,93.24 ± 0.91,92.23 ± 0.84,85.64 ± 1.50
llama-pubmed-origin_concat,10.97 ± 7.09,16.56 ± 6.11,38.23 ± 5.92,52.41 ± 1.92,75.96 ± 1.49,88.97 ± 1.20,21.70 ± 3.42,10.97 ± 7.09,17.17 ± 5.93,38.23 ± 5.92,52.41 ± 1.92,75.96 ± 1.49,88.97 ± 1.20,97.98 ± 0.15,97.60 ± 0.23,93.36 ± 0.43
minilm-pubmed-origin_cross,1.22 ± 0.83,2.48 ± 0.86,4.87 ± 0.46,7.30 ± 1.21,13.77 ± 0.87,22.70 ± 0.70,2.94 ± 0.71,1.22 ± 0.83,2.48 ± 0.86,4.89 ± 0.46,7.30 ± 1.21,13.77 ± 0.87,22.70 ± 0.70,71.34 ± 0.24,72.19 ± 0.43,65.97 ± 0.29
bert-pubmed-origin_cross,0.16 ± 0.12,2.28 ± 0.27,6.32 ± 0.94,11.12 ± 0.76,20.07 ± 0.31,28.40 ± 1.04,2.51 ± 0.15,0.16 ± 0.12,2.28 ± 0.27,6.32 ± 0.94,11.12 ± 0.76,20.07 ± 0.31,28.40 ± 1.04,77.84 ± 0.24,77.59 ± 0.19,70.16 ± 0.32
e5-large-pubmed-origin_cross,0.98 ± 0.39,2.71 ± 0.78,8.10 ± 2.40,14.54 ± 2.01,24.02 ± 2.03,36.48 ± 2.60,4.06 ± 0.33,0.98 ± 0.39,2.71 ± 0.78,8.10 ± 2.40,14.54 ± 2.01,24.02 ± 2.03,36.48 ± 2.60,85.55 ± 0.85,84.29 ± 0.68,77.26 ± 0.75
llama-pubmed-origin_cross,8.22 ± 4.28,12.42 ± 4.45,29.90 ± 1.54,40.67 ± 2.97,55.62 ± 2.00,70.58 ± 0.92,14.34 ± 4.06,8.22 ± 4.28,12.42 ± 4.45,29.90 ± 1.54,40.67 ± 2.97,55.62 ± 2.00,70.58 ± 0.92,94.38 ± 0.12,94.13 ± 0.16,86.68 ± 0.19
Best,20.89,45.45,77.27,90.91,100.0,100.0,31.44,20.89,45.45,77.27,90.91,100.0,100.0,98.66,98.49,94.72
